tabela,coluna,tipo,pk
gestao_convenios_originador,id,INTEGER,1
gestao_convenios_originador,originador,TEXT,0
gestao_convenios_originador,numero_convenio,TEXT,0
gestao_convenios_originador,nome_convenio,TEXT,0
gestao_convenios_originador,cnpj_convenio,TEXT,0
gestao_convenios_originador,averbadora,TEXT,0
log_registros_padrao,id,INTEGER,1
log_registros_padrao,tabela,TEXT,0
log_registros_padrao,convenio,TEXT,0
log_registros_padrao,originador,TEXT,0
log_registros_padrao,nome_usuario,TEXT,0
log_registros_padrao,data_registro,TEXT,0
log_registros_padrao,hora_registro,TEXT,0
log_registros_padrao,json_dados_editados,TEXT,0
tabela_concilicacao_convenio,id,INTEGER,1
tabela_concilicacao_convenio,originador,TEXT,0
tabela_concilicacao_convenio,mes_referencia_conciliacao,TEXT,0
tabela_concilicacao_convenio,numero_convenio,TEXT,0
tabela_concilicacao_convenio,nome_convenio,TEXT,0
tabela_concilicacao_convenio,cnpj_convenio,TEXT,0
tabela_concilicacao_convenio,data_vencimento,TEXT,0
tabela_concilicacao_convenio,data_sla,TEXT,0
tabela_concilicacao_convenio,data_corte,TEXT,0
tabela_concilicacao_convenio,valor_remessa,REAL,0
tabela_concilicacao_convenio,valor_retorno,REAL,0
tabela_concilicacao_convenio,valor_repasse,REAL,0
tabela_concilicacao_convenio,status_conciliacao,TEXT,0
tabela_concilicacao_convenio,motivo_falta_conciliacao,TEXT,0
tabela_concilicacao_convenio,porcentagem_inadimplencia,REAL,0
tabela_conta_conv,id,INTEGER,1
tabela_conta_conv,originador,TEXT,0
tabela_conta_conv,numero_convenio,TEXT,0
tabela_conta_conv,nome_convenio,TEXT,0
tabela_conta_conv,cnpj_convenio,TEXT,0
tabela_conta_conv,banco,TEXT,0
tabela_conta_conv,agencia,TEXT,0
tabela_conta_conv,conta,TEXT,0
tabela_conta_conv,chave_pix,TEXT,0
tabela_conta_conv,cnpj,TEXT,0
tabela_conta_conv,status_conta,TEXT,0
tabela_conta_conv,criado_em,TEXT,0
tabela_conta_conv,atualizado_em,TEXT,0
tabela_contato,id,INTEGER,1
tabela_contato,originador,TEXT,0
tabela_contato,numero_convenio,TEXT,0
tabela_contato,nome_convenio,TEXT,0
tabela_contato,cnpj_convenio,TEXT,0
tabela_contato,area,TEXT,0
tabela_contato,status,TEXT,0
tabela_contato,nome,TEXT,0
tabela_contato,email,TEXT,0
tabela_contato,telefone,TEXT,0
tabela_contato,observacao,TEXT,0
tabela_contato,criado_em,TEXT,0
tabela_contato,atualizado_em,TEXT,0
tabela_particularidade,id,INTEGER,1
tabela_particularidade,originador,TEXT,0
tabela_particularidade,numero_convenio,TEXT,0
tabela_particularidade,nome_convenio,TEXT,0
tabela_particularidade,cnpj_convenio,TEXT,0
tabela_particularidade,rubrica_produto,TEXT,0
tabela_particularidade,modelo_de_averbacao,TEXT,0
tabela_particularidade,retencao,TEXT,0
tabela_particularidade,qual_retencao,TEXT,0
tabela_particularidade,telefone,TEXT,0
tabela_particularidade,observacao,TEXT,0
tabela_particularidade,criado_em,TEXT,0
tabela_particularidade,atualizado_em,TEXT,0
